Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
M4C,PME_A50_1_13+380_M4C,13+380,13+810,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.C,OUI,MM413.C1
M4D,PME_A50_1_13+810_M4D,13+810,14+360,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.D,OUI,MM413.D1
M4E,PME_A50_1_14+360_M4E,14+360,14+845,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.E,OUI,MM413.E1
M4F,PME_A50_1_14+845_M4F,14+845,15+345,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.F,OUI,MM413.F1
M4G,PME_A50_1_15+373_M4G,15+345,15+349,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.G,OUI,MM413.G1
M4c,PME_A50_2_13+380_M4c,13+380,13+810,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.c,OUI,MM413.c2
M4d,PME_A50_2_13+810_M4d,13+810,14+360,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.d,OUI,MM413.d2
M4e,PME_A50_2_14+360_M4e,14+360,14+845,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.e,OUI,MM413.e2
M4f,PME_A50_2_14+845_M4f,14+845,15+373,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.f,OUI,MM413.f2
M4g,PME_A50_2_15+373_M4g,15+373,15+584,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.g,OUI,MM413.g2
M4K,PME_A501_1_0+59_M4K,0+59,0+559,1,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.K,OUI,MM413.K1
M4L,PME_A501_1_1+045_M4L,1+045,1+545,1,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.L,OUI,MM413.L1
M4M,PME_A501_1_1+435_M4M,1+435,1+935,1,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.M,OUI,MM413.M1
M4N,PME_A501_1_2+000_M4N,2+000,2+482,1,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.N,OUI,MM413.N1
M4O,PME_A501_1_2+482_M4O,2+482,2+499,1,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.O,OUI,MM413.O1
M4k,PME_A501_2_0+59_M4k,0+59,0+559,2,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.k,OUI,MM413.k2
M4l,PME_A501_2_1+045_M4l,1+045,1+545,2,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.l,OUI,MM413.l2
M4m,PME_A501_2_1+435_M4m,1+435,1+935,2,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.m,OUI,MM413.m2
M4n,PME_A501_2_2+000_M4n,2+000,2+482,2,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.n,OUI,MM413.n2
M4o,PME_A501_2_2+482_M4o,2+482,2+499,2,A501,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.o,OUI,MM413.o2
